Species,common name
ABDH,American Black Duck/Mallard hybrid
ABDU,American Black Duck
ABFL,Asian Brown Flycatcher
ABMA_HYA,American Black Duck/Mallard hybrid ABDU-like
ABMA_HYM,American Black Duck/Mallard hybrid MALL-like
ABMA_MAB,American Black Duck male/Mallard female pair
ABMA_MAM,American Black Duck female/Mallard male pair
ABTO,Abert's Towhee
ACFL,Acadian Flycatcher
ACGO,Cackling Goose - Aleutian race
ACWO,Acorn Woodpecker
ADWA,Adelaide's Warbler
AFCD,African Collared-Dove
AFOW,Ashy-faced Owl
AFSI,African Silverbill
AGHE,Agami Heron
AHJA,Azure-hooded Jay
AKEK,Akekee
AKEP,Akepa
AKIA,Akiapolaau
AKIK,Akikiki
AKOH,Akohekohe
ALFL,Alder Flycatcher
ALHU,Allen's Hummingbird
ALOR,Altamira Oriole
ALSW,Alpine Swift
ALTE,Aleutian Tern
ALYE,Altamira Yellowthroat
AMAU,Amaui
AMAV,American Avocet
AMBI,American Bittern
AMCO,American Coot
AMCR,American Crow
AMDI,American Dipper
AMFL,American Flamingo
AMGO,American Goldfinch
AMGP,American Golden-Plover
AMKE,American Kestrel
AMKI,Amazon Kingfisher
AMOY,American Oystercatcher
AMPI,American Pipit
AMRE,American Redstart
AMRO,American Robin
AMWI,American Wigeon
AMWO,American Woodcock
ANCH,Antillean Crested Hummingbird
ANEU,Antillean Euphonia
ANHI,Anhinga
ANHU,Anna's Hummingbird
ANIA,Anianiau
ANMA,Antillean Mango
ANMU,Ancient Murrelet
ANNI,Antillean Nighthawk
ANPI,Antillean Piculet
ANPS,Antillean Palm-Swift
ANSI,Antillean Siskin
APAP,Apapane
APFA,Aplomado Falcon
APKI,American Pygmy Kingfisher
ARLO,Arctic Loon
ARRW,Arrowhead Warbler
ARTA,Azure-rumped Tanager
ARTE,Arctic Tern
ARWA,Arctic Warbler
ARWO,Arizona Woodpecker
ASSP,Ashy Storm-Petrel
ATBR,Atlantic Brant
ATBT,Ashy-throated Bush-Tanager
ATFL,Ash-throated Flycatcher
ATGR,Atitlan Grebe
ATHU,Amethyst-throated Hummingbird
ATPU,Atlantic Puffin
ATSP,American Tree Sparrow
ATTW,American Three-toed Woodpecker
AUOR,Audubon's Oriole
AUSH,Audubon's Shearwater
AUWA,Audubon's Warbler
AWPE,American White Pelican
AZCH,Azure-crowned Hummingbird
AZGA,Azure Gallinule
AZTH,Aztec Thrush
BAAN,Barred Antshrike
BABE,Barred Becard
BABU,Barbados Bullfinch
BABU_UNI,Unidentified Bullock's/Baltimore Oriole
BABW,Band-backed Wren
BACA,Bare-crowned Antbird
BACS,Bachman's Sparrow
BADO,Barred Owl
BAEA,Bald Eagle
BAFA,Bat Falcon
BAFF,Barred Forest-Falcon
BAGO,Barrow's Goldeneye
BAGO_EAS,Barrow's Goldeneye - Eastern population
BAGO_WES,Barrow's Goldeneye - Western population
BAGT,Blue-and-gold Tanager
BAHA,Barred Hawk
BAHO,Bahama Oriole
BAHS,Bahama Swallow
BAHW,Bahama Warbler
BAIS,Baird's Sparrow
BAMO,Bahama Mockingbird
BANA,Bananaquit
BANO,Barn Owl
BANO_EAS,Barn Owl - Eastern population
BANO_WES,Barn Owl - Western population
BANS,Bank Swallow
BANW,Banded Wren
BAOR,Baltimore Oriole
BAPA,Barred Parakeet
BAPU,Barred Puffbird
BAQU,Banded Quail
BARG,Barnacle Goose
BARS,Barn Swallow
BARW,Barbuda Warbler
BASA,Baird's Sandpiper
BASO,Balsas Screech-Owl
BATE,Baikal Teal
BATR,Baird's Trogon
BAWA,Bachman's Warbler
BAWB,Black-and-white Becard
BAWH,Black-and-white Hawk-Eagle
BAWM,Blue-and-white Mockingbird
BAWO,Bahama Woodstar
BAWS,Blue-and-white Swallow
BAWW,Black-and-white Warbler
BAYE,Bahama Yellowthroat
BAYM,Blue-and-yellow Macaw
BAYS,Black-and-yellow Silky-flycatcher
BAYT,Black-and-yellow Tanager
BAYW,Bay Wren
BBAL,Black-browed Albatross
BBCU,Black-billed Cuckoo
BBEH,Buff-bellied Hummingbird
BBEW,Black-bellied Wren
BBFL,Buff-breasted Flycatcher
BBHE,Boat-billed Heron
BBIH,Broad-billed Hummingbird
BBIS,Broad-billed Sandpiper
BBMA,Black-billed Magpie
BBMO,Broad-billed Motmot
BBNT,Black-billed Nightingale-Thrush
BBNW,Black-banded Woodcreeper
BBOH,Bullock's/Baltimore Oriole hybrid
BBOR,Black-backed Oriole
BBPA,Black-billed Parrot
BBPL,Black-bellied Plover
BBPU,Black-breasted Puffbird
BBRC,Bay-breasted Cuckoo
BBRW,Buff-breasted Wren
BBSA,Buff-breasted Sandpiper
BBSC,Brown-billed Scythebill
BBSO,Brown-backed Solitaire
BBSP,Black-bellied Storm-Petrel
BBTO,Broad-billed Tody
BBWA,Bay-breasted Warbler
BBWD,Black-bellied Whistling-Duck
BBWO,Black-backed Woodpecker
BBWQ,Black-breasted Wood-Quail
BCAF,Black-capped Flycatcher
BCAH,Blue-capped Hummingbird
BCAT,Black-cheeked Ant-Tanager
BCAV,Brown-capped Vireo
BCCH,Black-capped Chickadee
BCCO,Black-crested Coquette
BCDO,Black-capped Donacobius
BCFL,Brown-crested Flycatcher
BCGN,Black-capped Gnatcatcher
BCHA,Black-collared Hawk
BCHH,Blue-chested Hummingbird
BCHJ,Black-chested Jay
BCHS,Black-chested Sparrow
BCHU,Black-chinned Hummingbird
BCMA,Brown-chested Martin
BCMO,Blue-crowned Motmot
BCNA,Black-crowned Antpitta
BCNH,Black-crowned Night-Heron
BCNI,Buff-collared Nightjar
BCOF,Bran-colored Flycatcher
BCOR,Black-cowled Oriole
BCPE,Black-capped Petrel
BCRC,Blue-crowned Chlorophonia
BCRF,Brown-capped Rosy-Finch
BCRJ,Bushy-crested Jay
BCRM,Blue-crowned Manakin
BCRT,Black-crowned Tityra
BCSI,Black-capped Siskin
BCSP,Black-chinned Sparrow
BCSW,Black-capped Swallow
